--------- beginning of main
07-16 21:40:55.984  7476  7476 W zygote  : Unexpected CPU variant for X86 using defaults: x86
07-16 21:40:56.405  7476  7476 D WM-WrkMgrInitializer: Initializing WorkManager with default configuration.
07-16 21:40:56.580  7476  7476 D WM-PackageManagerHelper: Skipping component enablement for androidx.work.impl.background.systemjob.SystemJobService
07-16 21:40:56.580  7476  7476 D WM-Schedulers: Created SystemJobScheduler and enabled SystemJobService
07-16 21:40:56.797  7476  7491 D WM-ForceStopRunnable: The default process name was not specified.
07-16 21:40:56.812  7476  7491 D WM-ForceStopRunnable: Performing cleanup operations.
07-16 21:40:56.929  7476  7491 D WM-SystemJobScheduler: Reconciling jobs
07-16 21:40:57.193  7476  7491 D WM-ForceStopRunnable: Application was force-stopped, rescheduling.
07-16 21:40:57.342  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 90bf00d6-4b8f-4159-9503-973d652bbe45Job ID 404
07-16 21:40:57.391  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 314dec9a-586d-49d5-90b8-fdcd35e94b4fJob ID 398
07-16 21:40:57.413  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 0084af10-5a52-446b-b6b0-120f0ea7d1a5Job ID 405
07-16 21:40:57.762  7476  7476 I SVStartup: onCreate: MainActivity launcher with system splash theme
07-16 21:40:57.778  7476  7491 D WM-PackageManagerHelper: Skipping component enablement for androidx.work.impl.background.systemalarm.RescheduleReceiver
07-16 21:40:57.789  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 15444(1852KB) AllocSpace objects, 0(0B) LOS objects, 53% free, 1340KB/2MB, paused 14.633ms total 105.481ms
07-16 21:40:57.803  7476  7494 D OpenGLRenderer: HWUI GL Pipeline
07-16 21:40:57.814  7476  7476 I Choreographer: Skipped 84 frames!  The application may be doing too much work on its main thread.
07-16 21:40:58.195  7476  7487 I zygote  : Background concurrent copying GC freed 8531(1316KB) AllocSpace objects, 0(0B) LOS objects, 50% free, 2MB/5MB, paused 1.339ms total 206.038ms
07-16 21:40:59.377  7476  7494 D         : HostConnection::get() New Host Connection established 0xe00071c0, tid 7494
07-16 21:40:59.461  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 20915(3MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 1864KB/3MB, paused 1.216ms total 309.158ms
07-16 21:40:59.505  7476  7494 I zygote  : android::hardware::configstore::V1_0::ISurfaceFlingerConfigs::hasWideColorDisplay retrieved: 0
07-16 21:40:59.506  7476  7494 I OpenGLRenderer: Initialized EGL, version 1.4
07-16 21:40:59.506  7476  7494 D OpenGLRenderer: Swap behavior 1
07-16 21:40:59.518  7476  7494 D EGL_emulation: eglCreateContext: 0xe1a05a20: maj 2 min 0 rcv 2
07-16 21:40:59.523  7476  7494 D EGL_emulation: eglMakeCurrent: 0xe1a05a20: ver 2 0 (tinfo 0xe1a03ef0)
07-16 21:40:59.586  7476  7476 I Choreographer: Skipped 104 frames!  The application may be doing too much work on its main thread.
07-16 21:40:59.599  7476  7494 D EGL_emulation: eglMakeCurrent: 0xe1a05a20: ver 2 0 (tinfo 0xe1a03ef0)
07-16 21:41:00.483  7476  7476 I Choreographer: Skipped 53 frames!  The application may be doing too much work on its main thread.
07-16 21:41:01.145  7476  7498 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: false
07-16 21:41:01.545  7476  7511 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<kotlinx.coroutines.internal.ClassValueCtorCache$cache$1>: java.lang.NoClassDefFoundError: Failed resolution of: Ljava/lang/ClassValue;
07-16 21:41:01.547  7476  7511 I zygote  :   at void kotlinx.coroutines.internal.LimitedDispatcher$Worker.run() (LimitedDispatcher.kt:124)
07-16 21:41:01.547  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.TaskImpl.run() (Tasks.kt:89)
07-16 21:41:01.547  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:586)
07-16 21:41:01.547  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:820)
07-16 21:41:01.547  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker() (CoroutineScheduler.kt:717)
07-16 21:41:01.547  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run() (CoroutineScheduler.kt:704)
07-16 21:41:01.547  7476  7511 I zygote  : Caused by: java.lang.ClassNotFoundException: Didn't find class "java.lang.ClassValue" on path: DexPathList[[zip file "/data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/base.apk"],nativeLibraryDirectories=[/data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/lib/x86, /data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/base.apk!/lib/x86, /system/lib, /vendor/lib]]
07-16 21:41:01.547  7476  7511 I zygote  :   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
07-16 21:41:01.547  7476  7511 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
07-16 21:41:01.547  7476  7511 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
07-16 21:41:01.547  7476  7511 I zygote  :   at boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method) (D8$$SyntheticClass:0)
07-16 21:41:01.547  7476  7511 I zygote  :   at boolean retrofit2.Reflection$Android24.isDefaultMethod(java.lang.reflect.Method) (Reflection.java:76)
07-16 21:41:01.547  7476  7511 I zygote  :   at java.lang.Object retrofit2.Retrofit$1.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[]) (Retrofit.java:175)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object java.lang.reflect.Proxy.invoke(java.lang.reflect.Proxy, java.lang.reflect.Method, java.lang.Object[]) (Proxy.java:913)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyApiService.storeEvent(com.smartvision.svplayer.data.anomaly.AnomalyEventRequest, kotlin.coroutines.Continuation) ((null):-1)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:229)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(kotlinx.coroutines.CoroutineScope, kotlin.coroutines.Continuation) (AnomalyReporter.kt:-1)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(java.lang.Object, java.lang.Object) (AnomalyReporter.kt:-1)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndspatched(kotlinx.coroutines.internal.ScopeCoroutine, boolean, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:66)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(kotlinx.coroutines.internal.ScopeCoroutine, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:43)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) (Builders.common.kt:165)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) ((null):1)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.flushPending(kotlin.coroutines.Continuation) (AnomalyReporter.kt:215)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.access$flushPending(com.smartvision.svplayer.data.anomaly.AnomalyReporter, kotlin.coroutines.Continuation) (AnomalyReporter.kt:50)
07-16 21:41:01.548  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPendingAsync$1.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:135)
07-16 21:41:01.548  7476  7511 I zygote  :   at void kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(java.lang.Object) (ContinuationImpl.kt:33)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.DispatchedTask.run() (DispatchedTask.kt:100)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.internal.LimitedDispatcher$Worker.run() (LimitedDispatcher.kt:124)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.TaskImpl.run() (Tasks.kt:89)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:586)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:820)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker() (CoroutineScheduler.kt:717)
07-16 21:41:01.549  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run() (CoroutineScheduler.kt:704)
07-16 21:41:01.549  7476  7511 I zygote  : 
07-16 21:41:01.553  7476  7511 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<kotlinx.coroutines.internal.ClassValueCtorCache$cache$1>: java.lang.NoClassDefFoundError: Failed resolution of: Ljava/lang/ClassValue;
07-16 21:41:01.554  7476  7511 I zygote  :   at boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method) (D8$$SyntheticClass:0)
07-16 21:41:01.554  7476  7511 I zygote  :   at boolean retrofit2.Reflection$Android24.isDefaultMethod(java.lang.reflect.Method) (Reflection.java:76)
07-16 21:41:01.554  7476  7511 I zygote  :   at java.lang.Object retrofit2.Retrofit$1.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[]) (Retrofit.java:175)
07-16 21:41:01.554  7476  7511 I zygote  :   at java.lang.Object java.lang.reflect.Proxy.invoke(java.lang.reflect.Proxy, java.lang.reflect.Method, java.lang.Object[]) (Proxy.java:913)
07-16 21:41:01.554  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyApiService.storeEvent(com.smartvision.svplayer.data.anomaly.AnomalyEventRequest, kotlin.coroutines.Continuation) ((null):-1)
07-16 21:41:01.554  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:229)
07-16 21:41:01.554  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(kotlinx.coroutines.CoroutineScope, kotlin.coroutines.Continuation) (AnomalyReporter.kt:-1)
07-16 21:41:01.554  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(java.lang.Object, java.lang.Object) (AnomalyReporter.kt:-1)
07-16 21:41:01.555  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndspatched(kotlinx.coroutines.internal.ScopeCoroutine, boolean, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:66)
07-16 21:41:01.555  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(kotlinx.coroutines.internal.ScopeCoroutine, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:43)
07-16 21:41:01.555  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) (Builders.common.kt:165)
07-16 21:41:01.555  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) ((null):1)
07-16 21:41:01.556  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.flushPending(kotlin.coroutines.Continuation) (AnomalyReporter.kt:215)
07-16 21:41:01.556  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.access$flushPending(com.smartvision.svplayer.data.anomaly.AnomalyReporter, kotlin.coroutines.Continuation) (AnomalyReporter.kt:50)
07-16 21:41:01.556  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPendingAsync$1.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:135)
07-16 21:41:01.556  7476  7511 I zygote  :   at void kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(java.lang.Object) (ContinuationImpl.kt:33)
07-16 21:41:01.556  7476  7511 I zygote  :   at void kotlinx.coroutines.DispatchedTask.run() (DispatchedTask.kt:100)
07-16 21:41:01.556  7476  7511 I zygote  :   at void kotlinx.coroutines.internal.LimitedDispatcher$Worker.run() (LimitedDispatcher.kt:124)
07-16 21:41:01.559  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.TaskImpl.run() (Tasks.kt:89)
07-16 21:41:01.559  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:586)
07-16 21:41:01.559  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:820)
07-16 21:41:01.559  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker() (CoroutineScheduler.kt:717)
07-16 21:41:01.559  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run() (CoroutineScheduler.kt:704)
07-16 21:41:01.560  7476  7511 I zygote  : Caused by: java.lang.ClassNotFoundException: Didn't find class "java.lang.ClassValue" on path: DexPathList[[zip file "/data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/base.apk"],nativeLibraryDirectories=[/data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/lib/x86, /data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/base.apk!/lib/x86, /system/lib, /vendor/lib]]
07-16 21:41:01.560  7476  7511 I zygote  :   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
07-16 21:41:01.560  7476  7511 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
07-16 21:41:01.561  7476  7511 I zygote  :   at boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method) (D8$$SyntheticClass:0)
07-16 21:41:01.561  7476  7511 I zygote  :   at boolean retrofit2.Reflection$Android24.isDefaultMethod(java.lang.reflect.Method) (Reflection.java:76)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Object retrofit2.Retrofit$1.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[]) (Retrofit.java:175)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Object java.lang.reflect.Proxy.invoke(java.lang.reflect.Proxy, java.lang.reflect.Method, java.lang.Object[]) (Proxy.java:913)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyApiService.storeEvent(com.smartvision.svplayer.data.anomaly.AnomalyEventRequest, kotlin.coroutines.Continuation) ((null):-1)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:229)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(kotlinx.coroutines.CoroutineScope, kotlin.coroutines.Continuation) (AnomalyReporter.kt:-1)
07-16 21:41:01.561  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(java.lang.Object, java.lang.Object) (AnomalyReporter.kt:-1)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndspatched(kotlinx.coroutines.internal.ScopeCoroutine, boolean, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:66)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(kotlinx.coroutines.internal.ScopeCoroutine, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:43)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) (Builders.common.kt:165)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) ((null):1)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.flushPending(kotlin.coroutines.Continuation) (AnomalyReporter.kt:215)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.access$flushPending(com.smartvision.svplayer.data.anomaly.AnomalyReporter, kotlin.coroutines.Continuation) (AnomalyReporter.kt:50)
07-16 21:41:01.562  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPendingAsync$1.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:135)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(java.lang.Object) (ContinuationImpl.kt:33)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.DispatchedTask.run() (DispatchedTask.kt:100)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.internal.LimitedDispatcher$Worker.run() (LimitedDispatcher.kt:124)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.TaskImpl.run() (Tasks.kt:89)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:586)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:820)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker() (CoroutineScheduler.kt:717)
07-16 21:41:01.562  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run() (CoroutineScheduler.kt:704)
07-16 21:41:01.562  7476  7511 I zygote  : 
07-16 21:41:01.563  7476  7511 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<kotlinx.coroutines.internal.ClassValueCtorCache$cache$1>: java.lang.NoClassDefFoundError: Failed resolution of: Ljava/lang/ClassValue;
