--------- beginning of main
07-15 00:58:18.578 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:58:42.182 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:59:05.759 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:59:29.302 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:59:52.777 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:00:16.250 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-15 01:00:23.316 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204347(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 173us total 219.669ms
07-15 01:02:01.976 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202665(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 280us total 231.510ms
07-15 01:02:04.335 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205013(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 241us total 234.366ms
07-15 01:02:06.687 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204362(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 247us total 226.053ms
07-15 01:02:09.041 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203453(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 235us total 233.649ms
07-15 01:02:11.410 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204429(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 260us total 243.565ms
07-15 01:02:13.790 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207212(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 202us total 234.178ms
07-15 01:02:16.143 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205398(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 220.112ms
07-15 01:02:18.529 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205259(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 215us total 239.706ms
07-15 01:02:20.900 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207374(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 243us total 228.936ms
07-15 01:02:23.267 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204095(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 218us total 236.421ms
07-15 01:02:25.629 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205269(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 254us total 228.983ms
07-15 01:02:27.991 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204446(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 236.823ms
07-15 01:02:30.342 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204767(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 227.261ms
07-15 01:02:32.691 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203838(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 232.606ms
07-15 01:02:35.038 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203029(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 230us total 228.428ms
07-15 01:02:37.381 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203822(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 219.899ms
07-15 01:02:39.041 17906 17906 I SVStartup: state localReady=true checking=false activated=true playableSource=true route=home
07-15 01:02:39.396 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 165197(5MB) AllocSpace objects, 2(104KB) LOS objects, 23% free, 20MB/26MB, paused 161us total 221.509ms
07-15 01:02:39.626 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 6137(270KB) AllocSpace objects, 1(24KB) LOS objects, 22% free, 20MB/26MB, paused 202us total 228.566ms
07-15 01:02:39.876 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 7591(371KB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 166us total 246.414ms
07-15 01:02:39.973 17906 17957 I OpenGLRenderer: Davey! duration=953ms; Flags=0, IntendedVsync=16203912827084, Vsync=16203929510434, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=16203937529119, AnimationStart=16203937565196, PerformTraversalsStart=16204267720811, DrawStart=16204267898580, SyncQueued=16204857115580, SyncStart=16204857263811, IssueDrawCommandsStart=16204858208427, SwapBuffers=16204865318042, FrameCompleted=16204866950504, DequeueBufferDuration=317000, QueueBufferDuration=645000, 
07-15 01:02:39.992 17906 17906 I Choreographer: Skipped 56 frames!  The application may be doing too much work on its main thread.
07-15 01:02:40.078 17906 17957 I OpenGLRenderer: Davey! duration=1025ms; Flags=0, IntendedVsync=16203946244101, Vsync=16204880511701, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=16204886279734, AnimationStart=16204886318119, PerformTraversalsStart=16204895722811, DrawStart=16204896025042, SyncQueued=16204907841657, SyncStart=16204908003811, IssueDrawCommandsStart=16204908716042, SwapBuffers=16204971307350, FrameCompleted=16204972323657, DequeueBufferDuration=317000, QueueBufferDuration=408000, 
07-15 01:02:41.431 17906 17920 I vision.svplaye: Background concurrent copying GC freed 165129(5MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 250us total 257.593ms
07-15 01:02:43.031 17906 17920 I vision.svplaye: Background concurrent copying GC freed 211246(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 138us total 252.019ms
07-15 01:02:44.585 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201383(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 208us total 244.524ms
07-15 01:02:46.186 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203334(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 187us total 251.494ms
07-15 01:02:47.788 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205834(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 160us total 254.229ms
07-15 01:02:49.384 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206396(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 209us total 252.137ms
07-15 01:02:50.968 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203999(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 206us total 249.075ms
07-15 01:02:52.530 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203240(6MB) AllocSpace objects, 1(20KB) LOS objects, 21% free, 22MB/28MB, paused 191us total 242.759ms
07-15 01:02:54.110 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203064(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 164us total 251.105ms
07-15 01:02:55.673 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201515(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 207us total 256.162ms
07-15 01:02:57.260 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205019(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 196us total 245.954ms
07-15 01:02:58.865 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206522(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 148us total 250.882ms
07-15 01:03:00.442 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206277(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 175us total 243.242ms
07-15 01:03:02.039 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203451(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 152us total 253.794ms
07-15 01:03:03.622 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205677(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 205us total 253.463ms
07-15 01:03:05.199 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203106(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 179us total 242.133ms
07-15 01:03:06.774 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205193(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 273us total 244.861ms
07-15 01:03:08.361 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202292(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 188us total 253.975ms
07-15 01:03:09.934 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204434(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 172us total 238.910ms
07-15 01:03:11.522 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203629(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 223us total 243.639ms
07-15 01:03:13.113 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204665(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 173us total 249.385ms
07-15 01:03:14.685 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204246(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 169us total 248.133ms
07-15 01:03:16.242 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202633(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 211us total 235.716ms
07-15 01:03:17.821 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202153(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 197us total 245.288ms
07-15 01:03:19.344 17906 17932 I vision.svplaye: Waiting for a blocking GC ProfileSaver
07-15 01:03:19.402 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202260(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 381us total 242.242ms
07-15 01:03:19.403 17906 17932 I vision.svplaye: WaitForGcToComplete blocked ProfileSaver on HeapTrim for 58.430ms
07-15 01:03:20.977 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206267(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 177us total 234.696ms
07-15 01:03:22.564 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202565(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 157us total 235.535ms
07-15 01:03:24.138 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202887(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 197us total 238.050ms
07-15 01:03:25.712 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203374(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 202us total 240.682ms
07-15 01:03:27.291 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202878(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 287us total 237.006ms
07-15 01:03:28.843 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203250(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 862us total 235.327ms
07-15 01:03:30.412 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201915(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 272us total 242.324ms
07-15 01:03:32.005 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202598(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 145us total 243.405ms
07-15 01:03:33.579 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205770(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 688us total 239.168ms
07-15 01:03:35.167 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202852(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 143us total 235.878ms
07-15 01:03:36.736 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202332(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 269us total 236.572ms
07-15 01:03:38.308 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203670(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 204us total 236.237ms
07-15 01:03:39.880 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203339(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 228us total 235.604ms
07-15 01:03:41.456 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202979(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 297us total 236.999ms
07-15 01:03:43.039 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203024(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 164us total 239.451ms
07-15 01:03:44.618 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205524(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 185us total 240.302ms
07-15 01:03:46.188 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202744(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 187us total 245.639ms
07-15 01:03:47.767 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202357(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 22MB/28MB, paused 200us total 244.768ms
07-15 01:03:47.965 17906 17906 I SVStartup: state localReady=true checking=false activated=true playableSource=true route=profile
07-15 01:03:48.325 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 60990(2MB) AllocSpace objects, 2(104KB) LOS objects, 21% free, 22MB/28MB, paused 165us total 236.383ms
07-15 01:03:48.593 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 6921(230KB) AllocSpace objects, 2(68KB) LOS objects, 20% free, 22MB/28MB, paused 199us total 267.486ms
07-15 01:03:50.754 17906 17920 I vision.svplaye: Background concurrent copying GC freed 189291(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 22MB/28MB, paused 221us total 254.204ms
07-15 01:03:53.140 17906 17920 I vision.svplaye: Background concurrent copying GC freed 249206(7MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 360us total 254.276ms
07-15 01:03:55.534 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207072(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 228us total 256.409ms
07-15 01:03:57.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202860(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 243us total 240.109ms
07-15 01:04:00.269 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204825(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 185us total 227.942ms
07-15 01:04:02.641 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205312(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 245us total 240.457ms
07-15 01:04:05.029 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204334(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 244us total 250.474ms
07-15 01:04:07.421 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206312(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 158us total 251.331ms
07-15 01:04:09.846 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208048(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 489us total 269.101ms
07-15 01:04:12.238 17906 17920 I vision.svplaye: Background concurrent copying GC freed 209047(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 286us total 249.782ms
07-15 01:04:14.637 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206133(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 1.105ms total 234.936ms
07-15 01:04:17.009 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203140(6MB) AllocSpace objects, 1(20KB) LOS objects, 22% free, 21MB/27MB, paused 181us total 231.027ms
07-15 01:04:19.434 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204179(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 202us total 257.339ms
07-15 01:04:21.838 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207870(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 214us total 251.406ms
07-15 01:04:24.252 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206875(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 196us total 248.333ms
07-15 01:04:26.649 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205143(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 204us total 258.403ms
07-15 01:04:29.052 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206712(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 201us total 244.395ms
07-15 01:04:31.459 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206076(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 200us total 247.276ms
07-15 01:04:33.852 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206097(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 213us total 237.013ms
07-15 01:04:36.247 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204156(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 220us total 246.711ms
07-15 01:04:38.645 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205366(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 211us total 242.863ms
07-15 01:04:41.047 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205094(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 222us total 248.450ms
07-15 01:04:43.438 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206232(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 164us total 237.184ms
07-15 01:04:45.808 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203362(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 240us total 250.791ms
